"d_dis","n_houses","region","pro","province","district","loc"
"L1",382,"North","LP","Lamphun","Mueang Lamphun","Mueang Lamphun, Lamphun"
"C1",244,"North","CM","Chiang Mai","Sankampang","Sankampang, Chiang Mai"
"CR8",101,"North","CR","Chiang Rai","Mae Suai","Mae Suai, Chiang Rai"
"LP1",55,"North","LPA","Lampang","Hang Chat","Hang Chat, Lampang"
"C9",44,"North","CM","Chiang Mai","Mae On","Mae On, Chiang Mai"
"C8",35,"North","CM","Chiang Mai","San Pa Tong","San Pa Tong, Chiang Mai"
"CR4",19,"North","CR","Chiang Rai","Mae Sai","Mae Sai, Chiang Rai"
"L5",18,"North","LP","Lamphun","Mae Tha","Mae Tha, Lamphun"
"CR3",16,"North","CR","Chiang Rai","Phan","Phan, Chiang Rai"
"L2",14,"North","LP","Lamphun","Ban Thi","Ban Thi, Lamphun"
"L3",13,"North","LP","Lamphun","Ban Hong","Ban Hong, Lamphun"
"C10",12,"North","CM","Chiang Mai","Mae Wang","Mae Wang, Chiang Mai"
"LP3",12,"North","LPA","Lampang","Mueang Lampang","Mueang Lampang, Lampang"
"PR1",12,"North","PR","Phrae","Mueang Phrae","Mueang Phrae, Phrae"
"C5",10,"North","CM","Chiang Mai","San sai","San sai, Chiang Mai"
"C7",10,"North","CM","Chiang Mai","Chai Prakan","Chai Prakan, Chiang Mai"
"C6",9,"North","CM","Chiang Mai","Doi Lo","Doi Lo, Chiang Mai"
"CR5",9,"North","CR","Chiang Rai","Mae Lao","Mae Lao, Chiang Rai"
"CR1",7,"North","CR","Chiang Rai","Khun Tan","Khun Tan, Chiang Rai"
"L7",7,"North","LP","Lamphun","Li","Li, Lamphun"
"PY2",7,"North","PY","Phayao","Mueang Phayao","Mueang Phayao, Phayao"
"CR9",6,"North","CR","Chiang Rai","Wiang Chai","Wiang Chai, Chiang Rai"
"L4",5,"North","LP","Lamphun","Wiang Nong Long","Wiang Nong Long, Lamphun"
"PY1",5,"North","PY","Phayao","Chiang Muan","Chiang Muan, Phayao"
"PY3",5,"North","PY","Phayao","Dok Khamtai","Dok Khamtai, Phayao"
"C16",4,"North","CM","Chiang Mai","Chiang Dao","Chiang Dao, Chiang Mai"
"C2",4,"North","CM","Chiang Mai","Saraphi","Saraphi, Chiang Mai"
"C3",4,"North","CM","Chiang Mai","Mueang Chiang Mai","Mueang Chiang Mai, Chiang Mai"
"C4",4,"North","CM","Chiang Mai","Doi Saket","Doi Saket, Chiang Mai"
"CR10",4,"North","CR","Chiang Rai","Thoeng","Thoeng, Chiang Rai"
"CR6",4,"North","CR","Chiang Rai","Mueang Chiang Rai","Mueang Chiang Rai, Chiang Rai"
"K1",4,"West","K","Kanchanaburi","Mueang Kanchanaburi","Mueang Kanchanaburi, Kanchanaburi"
"L6",4,"North","LP","Lamphun","Pa Sang","Pa Sang, Lamphun"
"LP2",4,"North","LPA","Lampang","Mae Tha","Mae Tha, Lampang"
"MS3",4,"North","MS","Mae Hong Son","Mae Sariang","Mae Sariang, Mae Hong Son"
"NA4",4,"North","NAA","Nan","Phu Phiang","Phu Phiang, Nan"
"PY6",4,"North","PY","Phayao","Mae Chai","Mae Chai, Phayao"
"C14",3,"North","CM","Chiang Mai","Doi Tao","Doi Tao, Chiang Mai"
"CR2",3,"North","CR","Chiang Rai","Chiang Saen","Chiang Saen, Chiang Rai"
"C12",2,"North","CM","Chiang Mai","Hang Dong","Hang Dong, Chiang Mai"
"C17",2,"North","CM","Chiang Mai","Mae Taeng","Mae Taeng, Chiang Mai"
"CR7",2,"North","CR","Chiang Rai","Wiang Pa Pao","Wiang Pa Pao, Chiang Rai"
"MS1",2,"North","MS","Mae Hong Son","Mueang Mae Hong Son","Mueang Mae Hong Son, Mae Hong Son"
"MS2",2,"North","MS","Mae Hong Son","Pai","Pai, Mae Hong Son"
"NA5",2,"North","NAA","Nan","Pua","Pua, Nan"
"PY5",2,"North","PY","Phayao","Chiang Kham","Chiang Kham, Phayao"
"ST4",2,"Lower North","ST","Sukhothai","Si Nakhon","Si Nakhon, Sukhothai"
"ST4",2,"Lower North","ST","Sukhothai","Si Satchanalai","Si Satchanalai, Sukhothai"
"C15",1,"North","CM","Chiang Mai","Chom Thong","Chom Thong, Chiang Mai"
"KP1",1,"Lower North","KP","Kamphaeng Phet","Klong Klung","Klong Klung, Kamphaeng Phet"
"L8",1,"North","LP","Lamphun","Thung Hua Chang","Thung Hua Chang, Lamphun"
"LP4",1,"North","LPA","Lampang","Theon","Theon, Lampang"
"LP5",1,"North","LPA","Lampang","Mueang Pan","Mueang Pan, Lampang"
"LP6",1,"North","LPA","Lampang","Wang Nuea","Wang Nuea, Lampang"
"LP8",1,"North","LPA","Lampang","Chae Hom","Chae Hom, Lampang"
"LP9",1,"North","LPA","Lampang","Ko Kha","Ko Kha, Lampang"
"NA2",1,"North","NAA","Nan","Na Muen","Na Muen, Nan"
"NA3",1,"North","NAA","Nan","Wiang Sa","Wiang Sa, Nan"
"PR4",1,"North","PR","Phrae","Nong Muang Khai","Nong Muang Khai, Phrae"
"PR5",1,"North","PR","Phrae","Long","Long, Phrae"
"PY4",1,"North","PY","Phayao","Chun","Chun, Phayao"
"SN1",1,"Upper Northeast","SN","Sakon Nakhon","Akat Amnuai","Akat Amnuai, Sakon Nakhon"
"SS1",1,"Lower Northeast","SS","Si Sa Ket","Mueang Sisaket","Mueang Sisaket, Si Sa Ket"
"ST3",1,"Lower North","ST","Sukhothai","Sawankhalok","Sawankhalok, Sukhothai"
"UB1",1,"Lower Northeast","UB","Ubon Ratchathani","Warin Chamrap","Warin Chamrap, Ubon Ratchathani"
